"Displacement from bottom transducer array","Acoustic Radiation Force (ARF), 3x3 array","Acoustic Radiation Force (ARF), 5x7 array"
0.0283,3.18E-07,2.28E-06
0.0284,1.38E-07,2.08E-06
0.0285,4.15E-08,1.85E-06
0.0286,2.18E-07,1.59E-06
0.0287,3.89E-07,1.32E-06
0.0288,5.51E-07,1.03E-06
0.0289,7.02E-07,7.35E-07
0.029,8.37E-07,4.34E-07
0.0291,9.56E-07,1.35E-07
0.0292,1.06E-06,1.58E-07
0.0293,1.14E-06,4.39E-07
0.0294,1.20E-06,7.06E-07
0.0295,1.23E-06,9.54E-07
0.0296,1.25E-06,1.18E-06
0.0297,1.24E-06,1.38E-06
0.0298,1.20E-06,1.55E-06
0.0299,1.15E-06,1.68E-06
0.03,1.08E-06,1.79E-06
0.0301,9.87E-07,1.86E-06
0.0302,8.79E-07,1.90E-06
0.0303,7.56E-07,1.90E-06
0.0304,6.20E-07,1.87E-06
0.0305,4.76E-07,1.81E-06
0.0306,3.25E-07,1.72E-06
0.0307,1.70E-07,1.60E-06
0.0308,1.39E-08,1.46E-06
0.0309,1.40E-07,1.30E-06
0.031,2.89E-07,1.11E-06
0.0311,4.30E-07,9.18E-07
0.0312,5.61E-07,7.10E-07
0.0313,6.80E-07,4.96E-07
0.0314,7.84E-07,2.79E-07
0.0315,8.71E-07,6.32E-08
0.0316,9.41E-07,1.47E-07
0.0317,9.93E-07,3.49E-07
0.0318,1.02E-06,5.39E-07
0.0319,1.04E-06,7.13E-07
0.032,1.03E-06,8.69E-07
0.0321,1.00E-06,1.00E-06
0.0322,9.53E-07,1.12E-06
0.0323,8.90E-07,1.21E-06
0.0324,8.09E-07,1.27E-06
0.0325,7.15E-07,1.31E-06
0.0326,6.09E-07,1.32E-06
0.0327,4.92E-07,1.31E-06
0.0328,3.68E-07,1.27E-06
0.0329,2.38E-07,1.21E-06
0.033,1.06E-07,1.12E-06
0.0331,2.56E-08,1.02E-06
0.0332,1.55E-07,9.01E-07
0.0333,2.78E-07,7.66E-07
0.0334,3.94E-07,6.20E-07
0.0335,5.00E-07,4.64E-07
0.0336,5.94E-07,3.03E-07
0.0337,6.74E-07,1.40E-07
0.0338,7.39E-07,2.24E-08
0.0339,7.87E-07,1.81E-07
0.034,8.18E-07,3.32E-07
0.0341,8.31E-07,4.74E-07
0.0342,8.26E-07,6.03E-07
0.0343,8.03E-07,7.17E-07
0.0344,7.63E-07,8.14E-07
0.0345,7.06E-07,8.93E-07
0.0346,6.35E-07,9.52E-07
0.0347,5.49E-07,9.90E-07
0.0348,4.52E-07,1.01E-06
0.0349,3.45E-07,1.00E-06
0.035,2.30E-07,9.75E-07
0.0351,1.10E-07,9.29E-07
0.0352,1.32E-08,8.62E-07
0.0353,1.36E-07,7.78E-07
0.0354,2.57E-07,6.78E-07
0.0355,3.73E-07,5.64E-07
0.0356,4.81E-07,4.37E-07
0.0357,5.80E-07,3.02E-07
0.0358,6.67E-07,1.60E-07
0.0359,7.41E-07,1.33E-08
0.036,7.99E-07,1.34E-07
0.0361,8.40E-07,2.79E-07
0.0362,8.64E-07,4.20E-07
0.0363,8.70E-07,5.53E-07
0.0364,8.57E-07,6.76E-07
0.0365,8.26E-07,7.87E-07
0.0366,7.76E-07,8.83E-07
0.0367,7.08E-07,9.63E-07
0.0368,6.25E-07,1.02E-06
0.0369,5.26E-07,1.07E-06
0.037,4.14E-07,1.09E-06
0.0371,2.91E-07,1.09E-06
0.0372,1.59E-07,1.07E-06
0.0373,2.07E-08,1.03E-06
0.0374,1.22E-07,9.65E-07
0.0375,2.65E-07,8.84E-07
0.0376,4.06E-07,7.85E-07
0.0377,5.43E-07,6.70E-07
0.0378,6.73E-07,5.39E-07
0.0379,7.92E-07,3.97E-07
0.038,8.98E-07,2.44E-07
0.0381,9.90E-07,8.46E-08
0.0382,1.06E-06,7.99E-08
0.0383,1.12E-06,2.46E-07
0.0384,1.15E-06,4.11E-07
0.0385,1.16E-06,5.72E-07
0.0386,1.15E-06,7.26E-07
0.0387,1.11E-06,8.69E-07
0.0388,1.05E-06,1.00E-06
0.0389,9.63E-07,1.12E-06
0.039,8.52E-07,1.21E-06
0.0391,7.18E-07,1.29E-06
0.0392,5.61E-07,1.35E-06
0.0393,3.83E-07,1.38E-06
0.0394,1.85E-07,1.38E-06
0.0395,3.12E-08,1.36E-06
0.0396,2.63E-07,1.31E-06
0.0397,5.10E-07,1.23E-06
0.0398,7.70E-07,1.13E-06
0.0399,1.04E-06,9.87E-07
0.04,1.32E-06,8.16E-07
0.0401,1.61E-06,6.12E-07
0.0402,1.91E-06,3.73E-07
0.0403,2.22E-06,9.66E-08
0.0404,2.55E-06,2.21E-07
0.0405,2.89E-06,5.84E-07
0.0406,3.26E-06,1.00E-06
0.0407,3.67E-06,1.49E-06
0.0408,4.14E-06,2.06E-06
0.0409,4.69E-06,2.74E-06
0.041,5.37E-06,3.57E-06
0.0411,6.22E-06,4.62E-06
0.0412,7.35E-06,5.96E-06
0.0413,8.89E-06,7.76E-06
0.0414,1.11E-05,1.02E-05
0.0415,1.42E-05,1.38E-05
0.0416,1.89E-05,1.90E-05
0.0417,2.62E-05,2.70E-05
0.0418,3.80E-05,4.00E-05
0.0419,5.78E-05,6.17E-05
0.042,9.27E-05,1.00E-04
0.0421,1.58E-04,1.73E-04
0.0422,2.93E-04,3.26E-04
0.0423,8.18E-04,1.02E-03
